Episode, Steps, Reward, Time (in milliseconds), Convergence
1, 36, -3.5000000000000018, 1, 0.145026
2, 36, -3.5000000000000018, 3, 0.15546756771986886
3, 36, -3.5000000000000018, 2, 0.1517420709902286
4, 36, -3.5000000000000018, 5, 0.19843750953315226
5, 36, -3.5000000000000018, 6, 0.0760548948505993
6, 36, -3.5000000000000018, 4, 0.12830533240294223
7, 36, -3.5000000000000018, 5, 0.1733998811124624
8, 36, -3.5000000000000018, 6, 0.15595662343657368
9, 36, -3.5000000000000018, 8, 0.16072841704656443
10, 36, -3.5000000000000018, 9, 0.1555948259021731
11, 36, -3.5000000000000018, 8, 0.14166024326654963
12, 23, -2.2000000000000006, 8, 0.17740499600272908
13, 36, -3.5000000000000018, 10, 0.1795280511736743
14, 36, -3.5000000000000018, 10, 0.1417937697664563
15, 15, -1.4000000000000001, 7, 0.11381742827834596
16, 36, -3.5000000000000018, 8, 0.15097084214552403
17, 36, -3.5000000000000018, 9, 0.19854003950825144
18, 28, -2.700000000000001, 9, 0.15119297087882066
19, 13, -1.2, 11, 0.19524163754926216
20, 21, -2.0000000000000004, 11, 0.2779575976888474
21, 36, -3.5000000000000018, 12, 0.2505126177903032
22, 14, -1.3, 10, 0.17087160642700372
23, 19, -1.8000000000000005, 16, 0.16872691614786295
24, 19, -1.8000000000000005, 14, 0.17894163528146567
25, 16, -1.5000000000000002, 12, 0.2793438273900183
26, 36, -3.5000000000000018, 10, 0.23586518054485128
27, 14, -1.3, 11, 0.13946608028356633
28, 13, -1.2, 11, 0.21528774661229322
29, 14, -1.3, 15, 0.23363883894156212
30, 30, -2.9000000000000012, 14, 0.2851945141651179
31, 15, -1.4000000000000001, 12, 0.13695751437065273
32, 25, -2.400000000000001, 15, 0.2732339280102233
33, 13, -1.2, 16, 0.22834009901326002
34, 20, -1.9000000000000006, 17, 0.14715431978848725
35, 17, -1.6000000000000003, 16, 0.2905226503231077
36, 14, -1.3, 15, 0.20478578706198647
37, 36, -3.5000000000000018, 19, 0.22445565796486577
38, 36, -3.5000000000000018, 14, 0.31196926063258656
39, 36, -3.5000000000000018, 15, 0.19161548336407797
40, 36, -3.5000000000000018, 15, 0.17764421897199334
41, 36, -3.5000000000000018, 17, 0.18160249120496552
42, 14, -1.3, 14, 0.2546668493970973
