Episode, Steps, Reward, Time (in milliseconds), Convergence
1, 36, -3.5000000000000018, 2, 0.04779327
2, 36, -3.5000000000000018, 3, 0.050125830335142896
3, 36, -3.5000000000000018, 4, 0.04768907081742976
4, 36, -3.5000000000000018, 4, 0.04179658210004911
5, 36, -3.5000000000000018, 6, 0.056635232497826093
6, 36, -3.5000000000000018, 6, 0.06370974475003105
7, 36, -3.5000000000000018, 6, 0.046987035040402136
8, 36, -3.5000000000000018, 7, 0.04676434418407932
9, 36, -3.5000000000000018, 7, 0.04426575720358694
10, 34, -3.3000000000000016, 7, 0.0728787306874713
11, 36, -3.5000000000000018, 8, 0.04374055647839148
12, 36, -3.5000000000000018, 9, 0.05628424381058256
13, 36, -3.5000000000000018, 11, 0.07016924871094199
14, 36, -3.5000000000000018, 9, 0.04946953583624358
15, 36, -3.5000000000000018, 12, 0.06255470966773702
16, 36, -3.5000000000000018, 10, 0.06485471915380175
17, 36, -3.5000000000000018, 9, 0.056767399784539097
18, 36, -3.5000000000000018, 9, 0.05296840798378133
19, 36, -3.5000000000000018, 8, 0.04384779745123624
20, 36, -3.5000000000000018, 11, 0.05531795192797129
21, 35, -3.4000000000000017, 12, 0.050362812705572746
22, 36, -3.5000000000000018, 14, 0.038242354608780005
23, 36, -3.5000000000000018, 11, 0.053869797666702746
24, 36, -3.5000000000000018, 17, 0.058560405645602887
25, 16, -1.5000000000000002, 14, 0.05396066657355558
26, 12, -1.0999999999999999, 13, 0.042821628107258425
27, 36, -3.5000000000000018, 16, 0.05557598394463159
28, 36, -3.5000000000000018, 12, 0.053681520609838884
29, 36, -3.5000000000000018, 12, 0.07799125616457461
30, 14, -1.3, 12, 0.049222197883715846
31, 36, -3.5000000000000018, 13, 0.049912122418224514
32, 36, -3.5000000000000018, 14, 0.07076603175304425
33, 36, -3.5000000000000018, 14, 0.06864411870291526
34, 36, -3.5000000000000018, 13, 0.09884094216879602
35, 36, -3.5000000000000018, 13, 0.06919007478517034
36, 36, -3.5000000000000018, 14, 0.10232880905344022
37, 36, -3.5000000000000018, 13, 0.05726927398717607
38, 27, -2.600000000000001, 14, 0.04696176098850591
39, 31, -3.0000000000000013, 14, 0.05440567556623066
40, 17, -1.6000000000000003, 14, 0.06300157136428053
41, 14, -1.3, 13, 0.06384566360578692
42, 24, -2.3000000000000007, 14, 0.030760368117281778
43, 20, -1.9000000000000006, 14, 0.03835456027910711
44, 12, -1.0999999999999999, 16, 0.0731337185358189
45, 11, -0.9999999999999999, 14, 0.044680630561512946
46, 36, -3.5000000000000018, 16, 0.10221489411319884
47, 13, -1.2, 13, 0.04896144169425187
48, 36, -3.5000000000000018, 15, 0.0863487945054835
49, 12, -1.0999999999999999, 17, 0.03199709989120736
50, 36, -3.5000000000000018, 14, 0.06624610086603622
51, 36, -3.5000000000000018, 14, 0.027065861793629242
52, 13, -1.2, 15, 0.08315754703495326
53, 36, -3.5000000000000018, 16, 0.07988376892257787
54, 28, -2.700000000000001, 16, 0.06716267502186085
55, 36, -3.5000000000000018, 15, 0.09299080887648237
56, 24, -2.3000000000000007, 16, 0.07467509894805446
57, 14, -1.3, 16, 0.06607523304355334
58, 36, -3.5000000000000018, 15, 0.04363647828813616
59, 13, -1.2, 15, 0.034115555044859525
60, 16, -1.5000000000000002, 17, 0.051074683992057945
61, 16, -1.5000000000000002, 17, 0.053632823679043484
62, 12, -1.0999999999999999, 17, 0.0636064483210137
63, 36, -3.5000000000000018, 18, 0.05820353147735968
64, 18, -1.7000000000000004, 20, 0.06783047184185631
65, 14, -1.3, 17, 0.06080240180603402
66, 36, -3.5000000000000018, 16, 0.04064268912431113
67, 36, -3.5000000000000018, 17, 0.03828246174184091
68, 17, -1.6000000000000003, 17, 0.06722997746780679
69, 14, -1.3, 20, 0.07139909283155044
70, 20, -1.9000000000000006, 18, 0.08347832353221252
71, 18, -1.7000000000000004, 17, 0.07063855572432276
72, 14, -1.3, 17, 0.0627390104352834
73, 36, -3.5000000000000018, 17, 0.04592324946238113
74, 12, -1.0999999999999999, 19, 0.07171245049245167
75, 19, -1.8000000000000005, 17, 0.05033715136441064
76, 36, -3.5000000000000018, 18, 0.036601077203450294
77, 11, -0.9999999999999999, 17, 0.06410066076147691
78, 19, -1.8000000000000005, 18, 0.0653174152209699
79, 15, -1.4000000000000001, 19, 0.060036096981170406
80, 18, -1.7000000000000004, 19, 0.07661654952667485
81, 14, -1.3, 18, 0.061516685339812416
82, 11, -0.9999999999999999, 18, 0.029687244298337856
83, 14, -1.3, 19, 0.07750452411978093
84, 18, -1.7000000000000004, 18, 0.0831559284538923
85, 36, -3.5000000000000018, 18, 0.028872279617388252
86, 13, -1.2, 17, 0.0490885883130473
87, 14, -1.3, 19, 0.0774622120601503
88, 15, -1.4000000000000001, 18, 0.053581148935544776
89, 15, -1.4000000000000001, 19, 0.023613491235230377
90, 15, -1.4000000000000001, 22, 0.06076295897797929
91, 13, -1.2, 20, 0.07800557840968264
