Episode, Steps, Reward, Time (in milliseconds), Convergence
1, 36, -3.5000000000000018, 2, 0.18000000000000002
2, 36, -3.5000000000000018, 2, 0.1844651422954536
3, 36, -3.5000000000000018, 3, 0.1764848952496405
4, 36, -3.5000000000000018, 4, 0.18491627709860792
5, 36, -3.5000000000000018, 6, 0.19257275765023152
6, 36, -3.5000000000000018, 3, 0.24045256183585662
7, 36, -3.5000000000000018, 5, 0.23183317082897925
8, 36, -3.5000000000000018, 5, 0.19750602434950904
9, 36, -3.5000000000000018, 7, 0.2885910351805663
10, 36, -3.5000000000000018, 6, 0.19391903907938624
11, 36, -3.5000000000000018, 7, 0.21829591979963447
12, 36, -3.5000000000000018, 8, 0.1985712775199764
13, 33, -3.2000000000000015, 7, 0.2711272937833404
14, 28, -2.700000000000001, 7, 0.3970155529193886
15, 36, -3.5000000000000018, 7, 0.15570015759394207
16, 17, -1.6000000000000003, 7, 0.37630077914131066
17, 25, -2.400000000000001, 8, 0.2610322901147911
18, 36, -3.5000000000000018, 9, 0.17557891977060183
19, 36, -3.5000000000000018, 7, 0.38136926805583005
20, 30, -2.9000000000000012, 9, 0.3671259830210305
21, 13, -1.2, 10, 0.48942763695596736
22, 36, -3.5000000000000018, 8, 0.368160717170651
23, 16, -1.5000000000000002, 10, 0.27534838658770955
24, 21, -2.0000000000000004, 10, 0.30323443016779605
25, 18, -1.7000000000000004, 9, 0.4782690619763562
26, 12, -1.0999999999999999, 10, 0.1569144092232706
27, 36, -3.5000000000000018, 10, 0.38990979111762436
28, 36, -3.5000000000000018, 9, 0.38200183533451115
29, 36, -3.5000000000000018, 10, 0.46298583049408504
30, 36, -3.5000000000000018, 12, 0.4642730339800385
31, 36, -3.5000000000000018, 11, 0.42838126980189606
32, 36, -3.5000000000000018, 11, 0.6246573847032518
33, 36, -3.5000000000000018, 13, 0.4588902707945881
34, 27, -2.600000000000001, 11, 0.36751349268265865
35, 35, -3.4000000000000017, 10, 0.40665443222001496
36, 36, -3.5000000000000018, 11, 0.40342155892774345
37, 18, -1.7000000000000004, 10, 0.32901096092203486
38, 36, -3.5000000000000018, 13, 0.509008395558863
39, 25, -2.400000000000001, 10, 0.3454163332478095
40, 36, -3.5000000000000018, 12, 0.3457964074713502
41, 31, -3.0000000000000013, 13, 0.5796017673726331
42, 36, -3.5000000000000018, 17, 0.37360162410194486
