Episode, Steps, Reward, Time (in milliseconds), Convergence
1, 36, -3.5000000000000018, 3, 0.08081999999999999
2, 36, -3.5000000000000018, 4, 0.060776112599999994
3, 36, -3.5000000000000018, 6, 0.0544233069472187
4, 36, -3.5000000000000018, 5, 0.054263490848185665
5, 36, -3.5000000000000018, 4, 0.052575312182963185
6, 36, -3.5000000000000018, 7, 0.046759752018394524
7, 36, -3.5000000000000018, 7, 0.05705313432164347
8, 36, -3.5000000000000018, 8, 0.06343538826599779
9, 36, -3.5000000000000018, 9, 0.04799306069308301
10, 36, -3.5000000000000018, 10, 0.04664503671828302
11, 36, -3.5000000000000018, 10, 0.04547576973934289
12, 36, -3.5000000000000018, 10, 0.060121735592110426
13, 36, -3.5000000000000018, 10, 0.05244789634413155
14, 36, -3.5000000000000018, 13, 0.04638391061798902
15, 24, -2.3000000000000007, 12, 0.04195915178206375
16, 36, -3.5000000000000018, 13, 0.029005557514169666
17, 36, -3.5000000000000018, 12, 0.05167381066839083
18, 36, -3.5000000000000018, 16, 0.0640303535453258
19, 36, -3.5000000000000018, 16, 0.08898920734958904
20, 36, -3.5000000000000018, 14, 0.06095971882945597
21, 36, -3.5000000000000018, 15, 0.04893710176978794
22, 36, -3.5000000000000018, 16, 0.06230503096851758
23, 36, -3.5000000000000018, 17, 0.06446505909121286
24, 36, -3.5000000000000018, 16, 0.08036818489181788
25, 36, -3.5000000000000018, 18, 0.04854222346392878
26, 16, -1.5000000000000002, 17, 0.07592439391277539
27, 36, -3.5000000000000018, 16, 0.061179667998006226
28, 36, -3.5000000000000018, 15, 0.04145135758669405
29, 36, -3.5000000000000018, 16, 0.05637530927018286
30, 23, -2.2000000000000006, 18, 0.06016533029172594
31, 36, -3.5000000000000018, 20, 0.09175097459086007
32, 11, -0.9999999999999999, 17, 0.033128413692122605
33, 11, -0.9999999999999999, 19, 0.029983403044421708
34, 26, -2.500000000000001, 19, 0.04277758942003562
35, 27, -2.600000000000001, 19, 0.049932970810761396
36, 14, -1.3, 19, 0.051575626917464645
37, 22, -2.1000000000000005, 19, 0.043470072962414674
38, 11, -0.9999999999999999, 17, 0.03193302138279519
39, 14, -1.3, 18, 0.0562309961205284
