Episode, Steps, Reward, Time (in milliseconds), Convergence
1, 36, -3.5000000000000018, 4, 0.036000000000000004
2, 36, -3.5000000000000018, 5, 0.03240000000000001
3, 36, -3.5000000000000018, 6, 0.029425277479191297
4, 36, -3.5000000000000018, 7, 0.026244000000000017
5, 36, -3.5000000000000018, 10, 0.02411805905610831
6, 36, -3.5000000000000018, 13, 0.02116665438716195
7, 36, -3.5000000000000018, 11, 0.02654105164385734
8, 36, -3.5000000000000018, 17, 0.019265783592108454
9, 36, -3.5000000000000018, 14, 0.021257640000000008
10, 36, -3.5000000000000018, 15, 0.03336413284333531
11, 36, -3.5000000000000018, 17, 0.019008614798218706
12, 36, -3.5000000000000018, 16, 0.01963720009003106
13, 36, -3.5000000000000018, 22, 0.02291474949826404
14, 36, -3.5000000000000018, 22, 0.01696719626283838
15, 36, -3.5000000000000018, 22, 0.021011805010326706
16, 25, -2.400000000000001, 22, 0.014809572851460784
17, 36, -3.5000000000000018, 22, 0.014156389734523725
18, 36, -3.5000000000000018, 32, 0.01673103256247435
19, 36, -3.5000000000000018, 26, 0.014736630430427194
20, 36, -3.5000000000000018, 35, 0.014754247034166314
21, 36, -3.5000000000000018, 36, 0.016545033572131378
22, 36, -3.5000000000000018, 27, 0.014775110223127316
23, 36, -3.5000000000000018, 31, 0.013415272611650583
24, 36, -3.5000000000000018, 32, 0.016584660039241313
25, 36, -3.5000000000000018, 32, 0.017846972909875608
26, 27, -2.600000000000001, 41, 0.018302659682943784
27, 36, -3.5000000000000018, 32, 0.01362003575143278
28, 30, -2.9000000000000012, 42, 0.017694408923012633
29, 36, -3.5000000000000018, 45, 0.017071748246107188
30, 22, -2.1000000000000005, 35, 0.013823712428959078
31, 36, -3.5000000000000018, 34, 0.014437010727341881
32, 36, -3.5000000000000018, 46, 0.011560164118840421
33, 33, -3.2000000000000015, 42, 0.02020344585094086
34, 36, -3.5000000000000018, 41, 0.0167319697524113
35, 36, -3.5000000000000018, 43, 0.018520693601163235
36, 36, -3.5000000000000018, 42, 0.01861617360735454
37, 26, -2.500000000000001, 44, 0.018590601153711583
38, 17, -1.6000000000000003, 47, 0.016220057645703265
39, 36, -3.5000000000000018, 48, 0.01669424862830793
40, 36, -3.5000000000000018, 49, 0.01967253183109946
41, 16, -1.5000000000000002, 48, 0.015531944540347897
42, 29, -2.800000000000001, 49, 0.014933318186981848
43, 36, -3.5000000000000018, 49, 0.01638177908308025
44, 14, -1.3, 57, 0.017129746170293725
45, 12, -1.0999999999999999, 54, 0.021832974193710136
46, 35, -3.4000000000000017, 52, 0.01853122291071424
47, 17, -1.6000000000000003, 54, 0.018660627444038846
48, 15, -1.4000000000000001, 55, 0.012115073453491942
49, 18, -1.7000000000000004, 50, 0.017764074292288323
50, 19, -1.8000000000000005, 58, 0.02579175337253478
51, 13, -1.2, 58, 0.009590505520573
52, 17, -1.6000000000000003, 63, 0.020337913131234453
53, 16, -1.5000000000000002, 61, 0.01964435455435143
54, 26, -2.500000000000001, 52, 0.014960325334262614
55, 16, -1.5000000000000002, 57, 0.01741590378650626
56, 11, -0.9999999999999999, 64, 0.019345987470534842
57, 15, -1.4000000000000001, 60, 0.017071810060845016
58, 14, -1.3, 62, 0.01278446770307018
59, 11, -0.9999999999999999, 56, 0.017608101174764135
60, 16, -1.5000000000000002, 61, 0.013430631035425633
61, 17, -1.6000000000000003, 65, 0.022272052629770944
62, 11, -0.9999999999999999, 64, 0.023648985774291753
63, 13, -1.2, 59, 0.01895068608075573
64, 11, -0.9999999999999999, 64, 0.016709528751740033
65, 25, -2.400000000000001, 71, 0.020635187620464568
66, 15, -1.4000000000000001, 62, 0.014383163232976115
67, 24, -2.3000000000000007, 75, 0.027887234329959848
68, 12, -1.0999999999999999, 72, 0.01409349182575148
69, 11, -0.9999999999999999, 71, 0.020853191111293357
70, 20, -1.9000000000000006, 70, 0.012615844816383448
71, 18, -1.7000000000000004, 64, 0.023791840209060555
72, 14, -1.3, 84, 0.025053340535140356
73, 16, -1.5000000000000002, 74, 0.02293571163428476
74, 14, -1.3, 63, 0.018893607328714812
75, 20, -1.9000000000000006, 70, 0.022681995481790618
76, 15, -1.4000000000000001, 74, 0.020382694372004906
77, 36, -3.5000000000000018, 72, 0.021396366844813053
78, 14, -1.3, 77, 0.03282907153922715
79, 15, -1.4000000000000001, 89, 0.024676408094293056
80, 14, -1.3, 80, 0.023036544767701728
