Episode, Steps, Reward, Time (in milliseconds), Convergence
1, 36, -3.5000000000000018, 5, 0.15000000000000002
2, 36, -3.5000000000000018, 5, 0.10005758816068067
3, 36, -3.5000000000000018, 5, 0.1026906017075098
4, 36, -3.5000000000000018, 7, 0.09000098848135496
5, 36, -3.5000000000000018, 7, 0.09678727615433888
6, 36, -3.5000000000000018, 10, 0.06229149424969421
7, 36, -3.5000000000000018, 9, 0.10882381607283476
8, 36, -3.5000000000000018, 10, 0.09125487096815843
9, 36, -3.5000000000000018, 7, 0.0880730766544579
10, 36, -3.5000000000000018, 10, 0.08585680468039436
11, 36, -3.5000000000000018, 10, 0.08728856756982628
12, 36, -3.5000000000000018, 11, 0.09376920498480923
13, 16, -1.5000000000000002, 15, 0.13747503444950404
14, 36, -3.5000000000000018, 10, 0.0854382114153257
15, 14, -1.3, 13, 0.11274107004377043
16, 18, -1.7000000000000004, 14, 0.14040550717589523
17, 11, -0.9999999999999999, 13, 0.12577543457438345
18, 35, -3.4000000000000017, 15, 0.11721243608393167
19, 14, -1.3, 15, 0.11531131244515014
20, 12, -1.0999999999999999, 17, 0.1322361730151953
21, 13, -1.2, 14, 0.09908947447830574
22, 11, -0.9999999999999999, 17, 0.15917426360300002
23, 14, -1.3, 17, 0.10383297856153395
24, 36, -3.5000000000000018, 15, 0.10561731367768235
25, 17, -1.6000000000000003, 15, 0.11338743624428732
26, 29, -2.800000000000001, 16, 0.09727195168810931
27, 36, -3.5000000000000018, 16, 0.12385494261140712
28, 36, -3.5000000000000018, 17, 0.1141590481881053
29, 36, -3.5000000000000018, 22, 0.10914219163573535
30, 14, -1.3, 19, 0.07788293174271721
31, 26, -2.500000000000001, 16, 0.1119017788931338
32, 34, -3.3000000000000016, 17, 0.14284292189208625
33, 16, -1.5000000000000002, 19, 0.14297534862530192
34, 31, -3.0000000000000013, 19, 0.14415450430265703
35, 13, -1.2, 20, 0.15369603370432683
36, 17, -1.6000000000000003, 21, 0.18681713044818915
37, 14, -1.3, 19, 0.15724607253926198
38, 13, -1.2, 20, 0.1323948144021896
39, 36, -3.5000000000000018, 22, 0.17406671270163931
40, 16, -1.5000000000000002, 22, 0.1608145727744723
41, 18, -1.7000000000000004, 18, 0.16022859738498307
42, 15, -1.4000000000000001, 22, 0.11471045089895315
43, 33, -3.2000000000000015, 24, 0.1831153567804601
44, 28, -2.700000000000001, 22, 0.12720749078352367
45, 15, -1.4000000000000001, 23, 0.14602869269513463
46, 27, -2.600000000000001, 24, 0.10983131130063128
47, 13, -1.2, 24, 0.169948122126919
48, 27, -2.600000000000001, 26, 0.2071340568299741
49, 36, -3.5000000000000018, 27, 0.13779941546725272
50, 18, -1.7000000000000004, 22, 0.12556875276033974
51, 23, -2.2000000000000006, 23, 0.11632876448403318
52, 11, -0.9999999999999999, 26, 0.12686760391807317
53, 36, -3.5000000000000018, 25, 0.14748191736363636
54, 36, -3.5000000000000018, 25, 0.16282542689982565
55, 11, -0.9999999999999999, 28, 0.13427880328321773
56, 20, -1.9000000000000006, 25, 0.1325504237708069
57, 13, -1.2, 28, 0.19137460680006074
58, 13, -1.2, 23, 0.11294454403865872
59, 17, -1.6000000000000003, 25, 0.09985789799481254
60, 14, -1.3, 27, 0.09553138552879448
61, 12, -1.0999999999999999, 28, 0.11222616290519638
62, 21, -2.0000000000000004, 26, 0.08407298572983135
63, 16, -1.5000000000000002, 29, 0.1454153953002001
64, 15, -1.4000000000000001, 31, 0.15640529957391852
65, 20, -1.9000000000000006, 29, 0.15615553838997132
66, 24, -2.3000000000000007, 29, 0.13717660903372797
67, 18, -1.7000000000000004, 31, 0.1274532028606279
68, 36, -3.5000000000000018, 33, 0.12250387330565338
69, 17, -1.6000000000000003, 32, 0.1434588038775032
70, 15, -1.4000000000000001, 30, 0.1443609584240919
71, 19, -1.8000000000000005, 30, 0.13991779295461126
72, 17, -1.6000000000000003, 32, 0.16552200992056965
73, 20, -1.9000000000000006, 30, 0.0758255305160116
74, 36, -3.5000000000000018, 32, 0.1828193065486513
75, 36, -3.5000000000000018, 32, 0.11441016488867017
76, 13, -1.2, 34, 0.16422018820038875
77, 36, -3.5000000000000018, 36, 0.1130014276667397
78, 29, -2.800000000000001, 36, 0.08949905674657266
79, 29, -2.800000000000001, 38, 0.14462876172636085
80, 11, -0.9999999999999999, 31, 0.16286802330574712
81, 36, -3.5000000000000018, 35, 0.11372500211491343
82, 13, -1.2, 33, 0.18511191644975505
83, 16, -1.5000000000000002, 34, 0.0837770153453068
84, 14, -1.3, 35, 0.06912074592668283
85, 17, -1.6000000000000003, 33, 0.13754217583605988
86, 14, -1.3, 39, 0.12979862276267767
87, 13, -1.2, 38, 0.11407133306197736
88, 36, -3.5000000000000018, 35, 0.14209340478358023
89, 24, -2.3000000000000007, 32, 0.128284396285409
90, 17, -1.6000000000000003, 37, 0.11715638505685191
91, 12, -1.0999999999999999, 36, 0.14772080815937882
92, 27, -2.600000000000001, 34, 0.1349141827354765
93, 29, -2.800000000000001, 35, 0.21760095485857245
94, 17, -1.6000000000000003, 37, 0.13555963623559397
95, 14, -1.3, 37, 0.0660270273388186
96, 17, -1.6000000000000003, 39, 0.1536442063810915
97, 25, -2.400000000000001, 38, 0.14575552430061856
98, 13, -1.2, 41, 0.17607795716600916
99, 36, -3.5000000000000018, 39, 0.18313236849854686
100, 36, -3.5000000000000018, 38, 0.25962366517261143
101, 15, -1.4000000000000001, 38, 0.11592929673147645
102, 16, -1.5000000000000002, 41, 0.15753081632368615
103, 36, -3.5000000000000018, 42, 0.10790063544232498
104, 36, -3.5000000000000018, 44, 0.11675125762443947
105, 14, -1.3, 42, 0.1851641864751108
106, 36, -3.5000000000000018, 43, 0.1491541302079531
107, 36, -3.5000000000000018, 43, 0.12686439170190567
108, 15, -1.4000000000000001, 43, 0.08261218339247034
109, 12, -1.0999999999999999, 40, 0.1179742929873493
110, 36, -3.5000000000000018, 44, 0.19285058889421425
111, 14, -1.3, 38, 0.16963876303194947
112, 19, -1.8000000000000005, 40, 0.12891296692477494
113, 21, -2.0000000000000004, 45, 0.14853135784714633
114, 14, -1.3, 47, 0.16017332147079388
115, 15, -1.4000000000000001, 46, 0.11176457311199284
116, 17, -1.6000000000000003, 48, 0.10132556942944215
117, 13, -1.2, 48, 0.1462960439248917
118, 21, -2.0000000000000004, 44, 0.13428515411021746
119, 12, -1.0999999999999999, 45, 0.1577799956607604
120, 14, -1.3, 47, 0.202904984146421
121, 12, -1.0999999999999999, 48, 0.20068723220218365
122, 20, -1.9000000000000006, 45, 0.1051516228458772
123, 12, -1.0999999999999999, 43, 0.14034203229266878
124, 15, -1.4000000000000001, 53, 0.24439304326444233
125, 21, -2.0000000000000004, 50, 0.12201337895697328
126, 15, -1.4000000000000001, 50, 0.09596288051653057
127, 36, -3.5000000000000018, 42, 0.17238646264060575
128, 36, -3.5000000000000018, 48, 0.10344712130684197
129, 36, -3.5000000000000018, 48, 0.1450532795119136
130, 16, -1.5000000000000002, 47, 0.10599083874954718
131, 12, -1.0999999999999999, 47, 0.12621477370413253
132, 18, -1.7000000000000004, 49, 0.12161589866568656
133, 14, -1.3, 51, 0.13240873302681266
134, 18, -1.7000000000000004, 47, 0.1185742750224898
135, 35, -3.4000000000000017, 52, 0.12115193037682426
136, 33, -3.2000000000000015, 55, 0.16819950962326813
137, 26, -2.500000000000001, 51, 0.12765792994303826
138, 16, -1.5000000000000002, 46, 0.14417153193815002
139, 11, -0.9999999999999999, 50, 0.1307213310080133
140, 14, -1.3, 54, 0.08722804713429261
141, 15, -1.4000000000000001, 51, 0.16140553507555355
142, 13, -1.2, 52, 0.14055265554819585
143, 15, -1.4000000000000001, 51, 0.13647494709409103
144, 11, -0.9999999999999999, 55, 0.14497582843772905
145, 36, -3.5000000000000018, 57, 0.1824232660957097
146, 14, -1.3, 55, 0.1437734451003022
147, 15, -1.4000000000000001, 55, 0.1735110156247981
148, 20, -1.9000000000000006, 53, 0.09911890933331902
149, 21, -2.0000000000000004, 57, 0.1264888330583347
150, 17, -1.6000000000000003, 53, 0.14081041967442104
151, 17, -1.6000000000000003, 54, 0.12936389018441596
152, 14, -1.3, 56, 0.15999982324197093
153, 16, -1.5000000000000002, 58, 0.15112249200695604
154, 12, -1.0999999999999999, 59, 0.1523000178414059
155, 14, -1.3, 56, 0.12496614215441637
156, 36, -3.5000000000000018, 53, 0.1634516471826053
157, 36, -3.5000000000000018, 59, 0.1591859806753494
158, 14, -1.3, 55, 0.1385843872971726
159, 14, -1.3, 58, 0.09830692895212068
160, 17, -1.6000000000000003, 56, 0.09669957610272073
161, 13, -1.2, 58, 0.10884630979986598
162, 22, -2.1000000000000005, 57, 0.20988408517483814
163, 36, -3.5000000000000018, 65, 0.10881937729817692
164, 14, -1.3, 58, 0.17090236064112851
165, 36, -3.5000000000000018, 62, 0.10126675064903923
166, 36, -3.5000000000000018, 59, 0.13653148793109549
167, 13, -1.2, 56, 0.16911866744396953
168, 26, -2.500000000000001, 61, 0.13394057306742058
169, 17, -1.6000000000000003, 66, 0.11140467450465108
170, 36, -3.5000000000000018, 60, 0.13999370499129304
171, 15, -1.4000000000000001, 61, 0.14458916030915425
172, 15, -1.4000000000000001, 65, 0.1917301938754299
173, 17, -1.6000000000000003, 63, 0.13569218614160006
174, 14, -1.3, 60, 0.1286054916608787
175, 12, -1.0999999999999999, 60, 0.12687877132370007
176, 16, -1.5000000000000002, 59, 0.16888936367271
177, 12, -1.0999999999999999, 62, 0.18445330626764134
178, 16, -1.5000000000000002, 65, 0.22953967880556947
179, 16, -1.5000000000000002, 68, 0.17566749484525224
180, 18, -1.7000000000000004, 67, 0.11230772953915646
181, 15, -1.4000000000000001, 67, 0.19198434413696835
182, 36, -3.5000000000000018, 63, 0.1336757789374703
183, 28, -2.700000000000001, 67, 0.1454046314684645
184, 13, -1.2, 64, 0.13229519817189916
185, 22, -2.1000000000000005, 63, 0.11410963132033214
186, 21, -2.0000000000000004, 63, 0.17569379256764217
187, 36, -3.5000000000000018, 69, 0.11802788618547833
188, 15, -1.4000000000000001, 65, 0.08157237070710743
189, 16, -1.5000000000000002, 63, 0.11581233490355425
190, 35, -3.4000000000000017, 67, 0.1991003967785685
191, 27, -2.600000000000001, 69, 0.21713445106460583
192, 31, -3.0000000000000013, 66, 0.11786964359945329
193, 22, -2.1000000000000005, 68, 0.08518904653068649
194, 36, -3.5000000000000018, 71, 0.1669695522906205
195, 17, -1.6000000000000003, 61, 0.11958314983596485
196, 19, -1.8000000000000005, 68, 0.16710815846505944
197, 25, -2.400000000000001, 64, 0.18292569657013502
198, 11, -0.9999999999999999, 68, 0.15185723557500447
199, 17, -1.6000000000000003, 67, 0.16835167434568854
200, 15, -1.4000000000000001, 70, 0.162249807580106
201, 16, -1.5000000000000002, 78, 0.1515596804867887
202, 13, -1.2, 74, 0.18263611490616816
203, 17, -1.6000000000000003, 73, 0.12643215972801658
204, 11, -0.9999999999999999, 73, 0.18351660472832226
205, 15, -1.4000000000000001, 70, 0.17292189202030583
206, 11, -0.9999999999999999, 66, 0.1039062440658326
207, 36, -3.5000000000000018, 67, 0.15531578760317277
208, 36, -3.5000000000000018, 81, 0.17443780447845336
209, 30, -2.9000000000000012, 76, 0.20201640123295272
210, 22, -2.1000000000000005, 79, 0.19136636977645194
