Episode, Steps, Reward, Time (in milliseconds), Convergence
1, 36, -3.5000000000000018, 1, 0.2359918271178
2, 36, -3.5000000000000018, 3, 0.17319049850939106
3, 36, -3.5000000000000018, 3, 0.17057368824143093
4, 36, -3.5000000000000018, 5, 0.207023474749016
5, 35, -3.4000000000000017, 5, 0.08849516681172959
6, 36, -3.5000000000000018, 5, 0.2549468675463194
7, 36, -3.5000000000000018, 6, 0.24621319105680448
8, 36, -3.5000000000000018, 6, 0.17709979648391194
9, 36, -3.5000000000000018, 7, 0.3016047266594193
10, 36, -3.5000000000000018, 7, 0.14113588588344372
11, 36, -3.5000000000000018, 7, 0.26956693884456095
12, 36, -3.5000000000000018, 8, 0.4218501655226731
13, 36, -3.5000000000000018, 6, 0.17730942199786848
14, 15, -1.4000000000000001, 8, 0.5251556425721043
15, 36, -3.5000000000000018, 10, 0.28898412251218975
16, 36, -3.5000000000000018, 10, 0.17778208184544608
17, 24, -2.3000000000000007, 11, 0.48578973755263044
18, 36, -3.5000000000000018, 9, 0.24549063391026338
19, 36, -3.5000000000000018, 9, 0.6007644633401101
20, 36, -3.5000000000000018, 8, 0.3006672851135532
21, 36, -3.5000000000000018, 9, 0.18023335404203067
22, 13, -1.2, 11, 0.3985223489999512
23, 32, -3.1000000000000014, 11, 0.2384576975381012
24, 18, -1.7000000000000004, 9, 0.42122803766289185
25, 32, -3.1000000000000014, 11, 0.28694138736110597
26, 36, -3.5000000000000018, 14, 0.504104963839253
27, 15, -1.4000000000000001, 13, 0.32034964714435876
28, 36, -3.5000000000000018, 12, 0.6701735282601962
29, 36, -3.5000000000000018, 13, 0.4904943212272104
30, 12, -1.0999999999999999, 13, 0.5127127228203804
31, 36, -3.5000000000000018, 11, 0.36411780442699854
32, 17, -1.6000000000000003, 12, 0.3608487987148794
33, 15, -1.4000000000000001, 13, 0.16999549873777986
34, 17, -1.6000000000000003, 15, 0.6000287112954215
35, 29, -2.800000000000001, 14, 0.3775086122989349
36, 15, -1.4000000000000001, 10, 0.32714182466846964
37, 36, -3.5000000000000018, 12, 0.519481513416423
38, 36, -3.5000000000000018, 13, 0.6503796446237151
39, 36, -3.5000000000000018, 14, 0.7308655927854716
40, 31, -3.0000000000000013, 11, 0.25338801707555714
41, 36, -3.5000000000000018, 12, 0.26519917483344674
42, 24, -2.3000000000000007, 14, 0.2703661403118478
43, 30, -2.9000000000000012, 13, 0.42414442226337823
44, 27, -2.600000000000001, 14, 0.8123044160295422
45, 16, -1.5000000000000002, 13, 0.2588369200557221
46, 36, -3.5000000000000018, 15, 0.3548602034684156
47, 36, -3.5000000000000018, 14, 0.5392190753270101
48, 27, -2.600000000000001, 15, 0.5177320881167214
49, 36, -3.5000000000000018, 13, 0.45571880376689955
50, 15, -1.4000000000000001, 15, 0.4880261372684931
51, 36, -3.5000000000000018, 15, 0.355913710462177
52, 36, -3.5000000000000018, 16, 0.46338064447973326
53, 36, -3.5000000000000018, 16, 0.49837921941593777
54, 34, -3.3000000000000016, 15, 0.3482460928435459
55, 34, -3.3000000000000016, 19, 0.6659032680490589
56, 19, -1.8000000000000005, 16, 0.22825777784146561
57, 24, -2.3000000000000007, 16, 0.33859704014507375
58, 21, -2.0000000000000004, 15, 0.4569621619913955
59, 36, -3.5000000000000018, 16, 0.5273599772846096
60, 36, -3.5000000000000018, 17, 0.24717793180049696
61, 36, -3.5000000000000018, 17, 0.47653938513217253
62, 31, -3.0000000000000013, 20, 0.5365123636706524
63, 14, -1.3, 17, 0.5974235650072185
64, 36, -3.5000000000000018, 17, 0.5142216728668527
65, 13, -1.2, 22, 0.5540596930768584
66, 36, -3.5000000000000018, 15, 0.5454978118034602
67, 18, -1.7000000000000004, 18, 0.4229384807219475
68, 35, -3.4000000000000017, 20, 0.5311659503203185
69, 14, -1.3, 19, 0.6182195730849755
70, 15, -1.4000000000000001, 16, 0.512604221044026
71, 36, -3.5000000000000018, 18, 0.4471615842618471
72, 26, -2.500000000000001, 20, 0.5208332795972694
73, 18, -1.7000000000000004, 18, 0.5533142451028786
74, 36, -3.5000000000000018, 18, 0.6214211742158989
75, 36, -3.5000000000000018, 23, 0.6795836758128501
76, 36, -3.5000000000000018, 22, 0.4234828724838543
77, 12, -1.0999999999999999, 21, 0.2701216224578713
78, 24, -2.3000000000000007, 21, 0.4119952090634863
