Episode, Steps, Reward, Time (in milliseconds), Convergence
1, 36, -3.5000000000000018, 6, 0.014990719773779373
2, 36, -3.5000000000000018, 12, 0.01782238552733309
3, 36, -3.5000000000000018, 11, 0.012797142718306828
4, 36, -3.5000000000000018, 12, 0.015853173366704137
5, 36, -3.5000000000000018, 10, 0.013466912907727835
6, 36, -3.5000000000000018, 7, 0.012582215852489947
7, 36, -3.5000000000000018, 9, 0.015895750510098436
8, 33, -3.2000000000000015, 14, 0.016684189755029583
9, 36, -3.5000000000000018, 9, 0.015079384183761015
10, 36, -3.5000000000000018, 15, 0.015604448421741274
11, 36, -3.5000000000000018, 15, 0.01611724131384748
12, 36, -3.5000000000000018, 21, 0.01134465683752972
13, 36, -3.5000000000000018, 33, 0.016608730574962066
14, 36, -3.5000000000000018, 22, 0.015973286050198515
15, 36, -3.5000000000000018, 24, 0.010044948253163377
16, 29, -2.800000000000001, 27, 0.019061126567421427
17, 36, -3.5000000000000018, 20, 0.015664154193986812
18, 26, -2.500000000000001, 31, 0.01360874740155571
19, 36, -3.5000000000000018, 24, 0.018315723596838723
20, 36, -3.5000000000000018, 30, 0.014955513543022991
21, 36, -3.5000000000000018, 26, 0.016016327988625234
22, 28, -2.700000000000001, 28, 0.017514153190685666
23, 23, -2.2000000000000006, 28, 0.018993933795021067
24, 15, -1.4000000000000001, 34, 0.01714707274364735
25, 12, -1.0999999999999999, 34, 0.02075261928573008
26, 20, -1.9000000000000006, 26, 0.015519453303328934
27, 18, -1.7000000000000004, 33, 0.014415793307757108
28, 18, -1.7000000000000004, 41, 0.021175692094732634
29, 36, -3.5000000000000018, 29, 0.016111076631593668
30, 36, -3.5000000000000018, 31, 0.016679581656281472
31, 36, -3.5000000000000018, 35, 0.018659085440340728
32, 30, -2.9000000000000012, 29, 0.01668016379922227
33, 21, -2.0000000000000004, 38, 0.020974721150834374
34, 16, -1.5000000000000002, 37, 0.014244019361790095
35, 16, -1.5000000000000002, 44, 0.01654121175343476
36, 28, -2.700000000000001, 38, 0.01859980116393717
37, 19, -1.8000000000000005, 40, 0.019100007523013995
38, 17, -1.6000000000000003, 39, 0.014901806002725948
39, 13, -1.2, 44, 0.017192372042013182
40, 19, -1.8000000000000005, 51, 0.01804819211629527
41, 23, -2.2000000000000006, 45, 0.020565501987915735
42, 16, -1.5000000000000002, 46, 0.019081401525953834
43, 16, -1.5000000000000002, 47, 0.025245206032867284
44, 17, -1.6000000000000003, 46, 0.022535808647578537
45, 36, -3.5000000000000018, 41, 0.019825813912800916
46, 18, -1.7000000000000004, 51, 0.021144526486581605
47, 26, -2.500000000000001, 42, 0.020143300274301057
48, 11, -0.9999999999999999, 45, 0.017575541327491007
49, 12, -1.0999999999999999, 53, 0.025033419193247253
50, 25, -2.400000000000001, 47, 0.022628184034792165
51, 16, -1.5000000000000002, 52, 0.02714224020382544
52, 13, -1.2, 63, 0.027443535165690258
53, 15, -1.4000000000000001, 51, 0.019699716497568853
54, 11, -0.9999999999999999, 57, 0.022509619508558565
55, 11, -0.9999999999999999, 58, 0.023756920224676847
56, 12, -1.0999999999999999, 58, 0.025221833276314942
57, 13, -1.2, 59, 0.02345893394475579
58, 20, -1.9000000000000006, 61, 0.01956320352863694
59, 16, -1.5000000000000002, 60, 0.02280821083062945
60, 15, -1.4000000000000001, 57, 0.018528424797702336
61, 19, -1.8000000000000005, 63, 0.028353251339381602
62, 14, -1.3, 71, 0.02471765379041102
63, 14, -1.3, 60, 0.020228540498105074
64, 19, -1.8000000000000005, 61, 0.022739056771499233
65, 11, -0.9999999999999999, 59, 0.021593193853553627
66, 19, -1.8000000000000005, 57, 0.023288957442100078
67, 13, -1.2, 61, 0.024928274061631506
68, 11, -0.9999999999999999, 57, 0.012210871759804398
69, 13, -1.2, 69, 0.024754515572198543
70, 13, -1.2, 57, 0.022969857978738628
71, 13, -1.2, 71, 0.024333002570848777
72, 23, -2.2000000000000006, 66, 0.023368275120235205
73, 19, -1.8000000000000005, 82, 0.025047055025976872
74, 13, -1.2, 77, 0.024620977081364126
75, 16, -1.5000000000000002, 72, 0.023989051665225802
76, 22, -2.1000000000000005, 74, 0.03333030184496444
77, 19, -1.8000000000000005, 71, 0.020398841273686852
78, 11, -0.9999999999999999, 85, 0.022258013087974482
79, 13, -1.2, 70, 0.01647086625914318
80, 13, -1.2, 73, 0.026022495849820193
81, 12, -1.0999999999999999, 86, 0.03415381612485846
82, 13, -1.2, 73, 0.02965638612052246
83, 13, -1.2, 73, 0.022819019402344765
84, 15, -1.4000000000000001, 74, 0.02201038298667607
85, 14, -1.3, 78, 0.026616906868768386
86, 15, -1.4000000000000001, 80, 0.02830361160475614
87, 14, -1.3, 96, 0.02861115746697196
88, 14, -1.3, 87, 0.02403785790843771
89, 15, -1.4000000000000001, 90, 0.024520332751445495
90, 12, -1.0999999999999999, 88, 0.026231503335702566
91, 12, -1.0999999999999999, 83, 0.024397956096934292
92, 16, -1.5000000000000002, 88, 0.02803063257477495
93, 13, -1.2, 87, 0.025465463037225744
94, 11, -0.9999999999999999, 86, 0.020370072660962024
95, 16, -1.5000000000000002, 80, 0.02563423846558388
96, 20, -1.9000000000000006, 84, 0.018624827574736935
97, 13, -1.2, 83, 0.022396825385841312
98, 14, -1.3, 87, 0.02203466116213637
99, 11, -0.9999999999999999, 85, 0.02615105535313411
100, 18, -1.7000000000000004, 92, 0.02651283414135397
101, 13, -1.2, 88, 0.03031973291241269
102, 19, -1.8000000000000005, 91, 0.018141302967493944
103, 14, -1.3, 104, 0.022781445531814604
104, 14, -1.3, 82, 0.031350597080791465
105, 12, -1.0999999999999999, 100, 0.02220774479602783
106, 11, -0.9999999999999999, 91, 0.02686945946597935
107, 15, -1.4000000000000001, 94, 0.027448048040235706
108, 15, -1.4000000000000001, 95, 0.028726515418636023
109, 14, -1.3, 103, 0.028263887818050448
110, 18, -1.7000000000000004, 107, 0.02592076830673956
111, 13, -1.2, 93, 0.028421015036251274
112, 13, -1.2, 102, 0.029335191342509392
113, 12, -1.0999999999999999, 95, 0.02776857126896154
114, 12, -1.0999999999999999, 99, 0.02491608645546839
115, 12, -1.0999999999999999, 102, 0.02638558326977336
116, 18, -1.7000000000000004, 88, 0.027478751110220356
117, 16, -1.5000000000000002, 97, 0.02484281417771378
118, 18, -1.7000000000000004, 104, 0.02675485096673924
119, 13, -1.2, 104, 0.024601525903750032
120, 17, -1.6000000000000003, 96, 0.027821732105563268
121, 15, -1.4000000000000001, 112, 0.017254332647470116
122, 13, -1.2, 108, 0.019577593146190342
123, 13, -1.2, 121, 0.02833999936479048
124, 14, -1.3, 110, 0.03146589090637475
125, 17, -1.6000000000000003, 106, 0.029552855999740224
126, 11, -0.9999999999999999, 101, 0.02588799956538068
127, 15, -1.4000000000000001, 127, 0.03376329562518432
128, 13, -1.2, 113, 0.026933176459666586
129, 16, -1.5000000000000002, 106, 0.02440002045539469
130, 15, -1.4000000000000001, 109, 0.023176108016633723
131, 16, -1.5000000000000002, 103, 0.02270165055408252
132, 32, -3.1000000000000014, 116, 0.023533376832072073
133, 19, -1.8000000000000005, 133, 0.02684115923569752
134, 17, -1.6000000000000003, 111, 0.027420129202088805
135, 13, -1.2, 108, 0.02417202415324282
136, 11, -0.9999999999999999, 114, 0.020854735603518137
137, 14, -1.3, 125, 0.02547153905906374
138, 20, -1.9000000000000006, 101, 0.025083571258143422
139, 13, -1.2, 116, 0.01914398600623879
140, 13, -1.2, 109, 0.027335337160451778
141, 13, -1.2, 135, 0.024708084247565765
142, 11, -0.9999999999999999, 131, 0.03269234793181197
143, 12, -1.0999999999999999, 130, 0.02864408600564705
144, 14, -1.3, 128, 0.029913409144995184
145, 14, -1.3, 122, 0.028337633748496183
146, 13, -1.2, 141, 0.027994159179922984
147, 18, -1.7000000000000004, 115, 0.023869979647385575
148, 12, -1.0999999999999999, 122, 0.029410416949022355
149, 13, -1.2, 139, 0.025495202573443176
150, 23, -2.2000000000000006, 118, 0.026272646466125926
151, 15, -1.4000000000000001, 144, 0.029464544384563418
152, 11, -0.9999999999999999, 137, 0.025858083557193656
153, 32, -3.1000000000000014, 129, 0.025606794294968593
154, 18, -1.7000000000000004, 147, 0.025762250875068116
155, 12, -1.0999999999999999, 136, 0.02147285083868733
156, 22, -2.1000000000000005, 131, 0.025494640156078607
157, 19, -1.8000000000000005, 135, 0.01909306244273634
158, 13, -1.2, 128, 0.028678969893166983
159, 14, -1.3, 130, 0.02826570879990742
160, 12, -1.0999999999999999, 128, 0.025930081437454122
161, 13, -1.2, 144, 0.023482397837280344
162, 18, -1.7000000000000004, 138, 0.032858698377561946
163, 15, -1.4000000000000001, 128, 0.02779771036320655
164, 17, -1.6000000000000003, 134, 0.027096839293632824
165, 12, -1.0999999999999999, 136, 0.027484935078211925
166, 11, -0.9999999999999999, 139, 0.026919798341445533
167, 26, -2.500000000000001, 143, 0.025777380626084367
168, 22, -2.1000000000000005, 148, 0.029499779841195617
169, 11, -0.9999999999999999, 148, 0.02667312152863821
170, 11, -0.9999999999999999, 138, 0.02217349295446358
171, 11, -0.9999999999999999, 146, 0.0260647890974266
172, 13, -1.2, 140, 0.022521487091258452
173, 13, -1.2, 145, 0.030015268790572147
174, 15, -1.4000000000000001, 151, 0.023351705060149386
175, 13, -1.2, 142, 0.021969160325867862
176, 19, -1.8000000000000005, 132, 0.0297948998743508
177, 14, -1.3, 145, 0.025631004064712193
178, 16, -1.5000000000000002, 149, 0.026692781844964986
179, 16, -1.5000000000000002, 144, 0.026782235846385838
180, 12, -1.0999999999999999, 150, 0.024952696313077505
181, 21, -2.0000000000000004, 147, 0.02382571748634188
182, 14, -1.3, 151, 0.02105105289556075
183, 11, -0.9999999999999999, 146, 0.024797064611141284
184, 15, -1.4000000000000001, 158, 0.02513150246602419
185, 12, -1.0999999999999999, 148, 0.02524974746660702
186, 17, -1.6000000000000003, 156, 0.02931544435576469
187, 11, -0.9999999999999999, 153, 0.026706618985007258
188, 13, -1.2, 159, 0.03202588609961077
189, 19, -1.8000000000000005, 157, 0.029326022271804197
190, 15, -1.4000000000000001, 150, 0.024925659264275812
191, 12, -1.0999999999999999, 167, 0.025672159380693782
192, 11, -0.9999999999999999, 160, 0.024571496891985456
193, 20, -1.9000000000000006, 154, 0.021263627455242684
194, 13, -1.2, 172, 0.026538061596935614
195, 21, -2.0000000000000004, 157, 0.021646117418191335
196, 15, -1.4000000000000001, 164, 0.028486952006339994
197, 11, -0.9999999999999999, 181, 0.022677341907878623
198, 21, -2.0000000000000004, 174, 0.02795135298798279
199, 14, -1.3, 171, 0.029302696531436023
200, 15, -1.4000000000000001, 165, 0.026395648016281026
201, 16, -1.5000000000000002, 163, 0.026333972784415238
202, 13, -1.2, 162, 0.02565709345898326
203, 11, -0.9999999999999999, 198, 0.030121567188427956
204, 19, -1.8000000000000005, 159, 0.02574544836225401
205, 19, -1.8000000000000005, 181, 0.02324635374304207
206, 18, -1.7000000000000004, 182, 0.02501440387656778
207, 12, -1.0999999999999999, 183, 0.029200150960962845
208, 16, -1.5000000000000002, 184, 0.015573578210857142
209, 18, -1.7000000000000004, 164, 0.02413870123334938
210, 11, -0.9999999999999999, 169, 0.0236644490457818
211, 17, -1.6000000000000003, 173, 0.030829224420290458
212, 11, -0.9999999999999999, 196, 0.025166902809193425
213, 13, -1.2, 156, 0.02430910257372948
214, 13, -1.2, 187, 0.02969551374144741
215, 17, -1.6000000000000003, 182, 0.019938785320892882
216, 15, -1.4000000000000001, 178, 0.027310124202615804
217, 14, -1.3, 178, 0.03399890724438703
218, 16, -1.5000000000000002, 156, 0.027747767991330163
219, 17, -1.6000000000000003, 186, 0.023075808017599064
220, 14, -1.3, 184, 0.026450402701263753
221, 13, -1.2, 188, 0.025498191561625805
222, 18, -1.7000000000000004, 177, 0.025017301994958496
223, 14, -1.3, 183, 0.031690116375807986
224, 17, -1.6000000000000003, 181, 0.017321856340484
225, 15, -1.4000000000000001, 192, 0.031658647475880874
226, 13, -1.2, 200, 0.025857403314665572
227, 18, -1.7000000000000004, 186, 0.0300799197508822
228, 21, -2.0000000000000004, 193, 0.024852467503429843
229, 11, -0.9999999999999999, 182, 0.023176577640622087
230, 12, -1.0999999999999999, 178, 0.02571140089043733
231, 13, -1.2, 186, 0.03312028215780993
232, 13, -1.2, 196, 0.02119604539639869
233, 19, -1.8000000000000005, 198, 0.027490784139048374
234, 18, -1.7000000000000004, 200, 0.029270459353324174
235, 16, -1.5000000000000002, 204, 0.030154558808136556
236, 12, -1.0999999999999999, 188, 0.02701512173570625
237, 21, -2.0000000000000004, 195, 0.024643314833058372
